item_code,item_name,description,product_group,manufacturing_site,net_mass_kg,allow_sales_order,legacy_code,double_stack,pallet_size,mrp_type,length_mm,width_mm,height_mm,board_gsm,board_width_mm,board_length_mm,bundle_quantity,bundles_per_layer,layers_per_pallet,pallet_height_mm,product_state,number_of_colours,fsc,pallet_quantity,board_code,market_segment,bom_available
BOX041/102/NPL/D0096/02/900G,PRINTED LID - DIAPER GREY LID 2018 550mm x 390mm x 135mm 900,PRINTED LID - DIAPER GREY LID 2018 550mm x 390mm x 135mm 900GSM 1500 Per Pallet,Glued Lid 4PT No Pol,,0.4871,1,101101188,N,1000x1200,MTO,550.0,390.0,135.0,900.0,818.0,1318.0,30.0,10.0,5.0,2105.0,FG Box,200.0,Mix 70%,1500.0,4-13905 /,Meat & Poultry,1
BOX041/102/NPL/D0096/03/900G,PRINTED LID - DIAPER RED LID 2018 550mm x 390mm x 135mm 900G,PRINTED LID - DIAPER RED LID 2018 550mm x 390mm x 135mm 900GSM 1500 Per Pallet,Glued Lid 4PT No Pol,,0.4871,1,101101189,N,1000x1200,MTO,550.0,390.0,135.0,900.0,818.0,1318.0,30.0,10.0,5.0,2105.0,FG Box,200.0,Mix 70%,1500.0,4-13905 /,Meat & Poultry,1
BOX041/102/NPL/E0058/01/800G,PRINTED LID - EDEN VALLEY LARGE PTD LID 560mm x 385mm x 115m,PRINTED LID - EDEN VALLEY LARGE PTD LID 560mm x 385mm x 115mm 800GSM 1500 Per Pallet,Glued Lid 4PT No Pol,,0.3887,1,101100409,N,1000x1200,LID,560.0,385.0,115.0,800.0,790.0,1230.0,30.0,10.0,5.0,2080.0,FG Box,300.0,Mix 70%,1500.0,4-11095 /,Meat & Poultry,0
BOX041/102/NPL/J0033/01/900G,PRINTED LID - **OBSOLETE PRINT - USE BOX005 **,PRINTED LID - ** OBSOLETE PRINT - USE BOX005 ** CAVENDISH PTD LID 2019 *DS 550mm x 390mm x 135mm 900GSM 900 Per Pallet,Glued Lid 4PT No Pol,,0.4871,1,101101236,N,1000x1200,LID,550.0,390.0,135.0,900.0,820.0,1350.0,30.0,10.0,3.0,1325.0,FG Box,300.0,Mix 70%,900.0,4-13583 /,Meat & Poultry,0
BOX041/102/NPL/N0037/01/900G,PRINTED LID - R1 PTD LID 2021 NON EU 550mm x 390mm x 135mm 9,PRINTED LID - R1 PTD LID 2021 NON EU 550mm x 390mm x 135mm 900GSM 1500 Per Pallet,Glued Lid 4PT No Pol,,0.4871,1,101101404,N,1000x1200,MTO,550.0,390.0,135.0,900.0,818.0,1318.0,30.0,10.0,5.0,2105.0,FG Box,200.0,Mix 70%,1500.0,4-13905 /,Meat & Poultry,1
BOX041/103/NPL/A0009/01/900G,PRINTED LID -  A D HARVEY POULTERERS NO POLY 550 x 390 x 135,PRINTED LID -  A D HARVEY POULTERERS NO POLY 550 x 390 x 135 900GSM 1224 Per Pallet NW/WK,Glued Lid 4PT No Pol,103,0.4871,1,HPK201121/HAR,N,1000x1200,LID,550.0,390.0,135.0,900.0,1340.0,845.0,,,,,FG Box,500.0,Mix 70%,1224.0,SHT201121/A /,Meat & Poultry,0
BOX041/103/NPL/T0019/01/900G,PRINTED LID -  T SOANES AND SON POULTRY LTD NO POLY 550 x 39,PRINTED LID -  T SOANES AND SON POULTRY LTD NO POLY 550 x 390 x 135 900GSM 1224 Per Pallet NW/WK,Glued Lid 4PT No Pol,103,0.4871,1,HPK201121/NBP,N,1000x1200,LID,550.0,390.0,135.0,900.0,1340.0,845.0,,,,,FG Box,901.0,Mix 70%,1224.0,SHT201121/A /,Meat & Poultry,0
BOX041/103/NPL/T0019/02/900G,PRINTED LID -  T SOANES AND SON POULTRY LTD NO POLY 550 x 39,PRINTED LID -  T SOANES AND SON POULTRY LTD NO POLY 550 x 390 x 135 900GSM 1200 Per Pallet NW/WK,Glued Lid 4PT No Pol,103,0.4871,1,HPK201323/SP,N,1000x1200,LID,550.0,390.0,135.0,900.0,1340.0,845.0,,,,,FG Box,900.0,Mix 70%,1200.0,SHT201121/A /,Meat & Poultry,0
BOX044/102/NPB/750G/4080P,UNPRINTED BASE - BASE 300 X 205 X 90 300mm x 205mm x 90mm 75,UNPRINTED BASE - BASE 300 X 205 X 90 300mm x 205mm x 90mm 750GSM 4080 Per Pallet,Glud Base 4PT No Pol,,0.1386,1,111101498,N,1000x1200,BASE,300.0,205.0,90.0,750.0,0.0,0.0,40.0,17.0,6.0,1385.0,FG Box,0.0,Mix 70%,4080.0,n/a /,Meat & Poultry,0
BOX044/102/NPL/750G/4080P,UNPRINTED LID - PLAIN LID 310 X 213 X 90 310mm x 213mm x 90m,UNPRINTED LID - PLAIN LID 310 X 213 X 90 310mm x 213mm x 90mm 750GSM 4080 Per Pallet,Glued Lid 4PT No Pol,,0.1444,1,101101499,N,1000x1200,LID,310.0,213.0,90.0,750.0,0.0,0.0,40.0,17.0,6.0,1433.0,FG Box,0.0,Mix 70%,4080.0,n/a /,Meat & Poultry,0
