zone,service,vendor,source_sheet_row,pallet_1,pallet_2,pallet_3,pallet_4,pallet_5,pallet_6,pallet_7,pallet_8,pallet_9,pallet_10,pallet_11,pallet_12,pallet_13,pallet_14,pallet_15,pallet_16,pallet_17,pallet_18,pallet_19,pallet_20,pallet_21,pallet_22,pallet_23,pallet_24,pallet_25,pallet_26
TR,Next Day,McDowells,521,93,183,269,351,422,486,552,618,683,716,779,882,986,986,986,986,986,986,986,986,986,986,986,986,986,986
TR,Economy,Joda,522,77,148,221,285,295,365,449,512,576,640,704,769,832,896,961,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646
TR,Economy,McDowells,523,77,154,231,297,372,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429
E,Next Day,Joda,524,82,160,235,307,327,378,427,488,548,610,671,695,695,695,695,795,795,795,795,795,795,795,795,795,795,795
E,Next Day,McDowells,525,83,166,245,323,386,445,502,517,564,597,607,618,633,649,664,675,685,695,706,711,716,716,716,716,716,716
E,Economy,Joda,526,71,140,201,267,291,349,427,488,548,610,671,695,695,695,695,795,795,795,795,795,795,795,795,795,795,795
E,Economy,McDowells,527,78,151,222,291,344,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397
L,Next Day,Joda,528,59,103,151,199,215,255,284,318,341,375,386,397,409,420,431,454,454,454,454,454,454,454,454,454,454,454
L,Next Day,McDowells,529,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
L,Economy,Joda,530,52,92,136,177,196,236,284,318,341,375,386,397,409,420,431,454,454,454,454,454,454,454,454,454,454,454
L,Economy,McDowells,531,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
"PH 1-7, 14",Next Day,Joda,532,119,237,349,441,477,557,,,,,,,,,,,,,,,,,,,,
"PH 1-7, 14",Next Day,McDowells,533,170,340,395,497,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618
"PH 1-7, 14",Economy,Joda,534,98,195,285,373,388,460,,,,,,,,,,,,,,,,,,,,
"PH 1-7, 14",Economy,McDowells,535,136,272,372,475,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592
PH 8-13,Next Day,Joda,536,123,241,355,456,487,569,,,,,,,,,,,,,,,,,,,,
PH 8-13,Next Day,McDowells,537,170,340,395,497,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618
PH 8-13,Economy,Joda,538,117,232,343,443,461,542,,,,,,,,,,,,,,,,,,,,
PH 8-13,Economy,McDowells,539,136,272,372,475,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592
PH 15+,Next Day,Joda,540,,,,,,,,,,,,,,,,,,,,,,,,,,
PH 15+,Next Day,McDowells,541,170,340,395,497,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618
PH 15+,Economy,Joda,542,167,282,393,493,511,592,,,,,,,,,,,,,,,,,,,,
PH 15+,Economy,McDowells,543,136,272,372,475,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592
